episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
66,1130.0,1060,40944,0.2,0.07669059741750078,148.39728429191746,True,False
67,1670.0,666,41610,0.2,0.06815201785774475,150.63841620786116,True,False
68,1360.0,690,42300,0.2,0.0809120053393131,152.97335920785554,True,False
69,340.0,391,42691,0.2,0.06952004018479709,155.90468466700986,True,False
70,330.0,449,43140,0.2,0.0811356428961179,160.226232457906,True,False
71,360.0,439,43579,0.2,0.07736908864024855,161.82428220799193,True,False
72,190.0,325,43904,0.2,0.09340666775114653,162.95189199992456,True,False
73,1170.0,1082,44986,0.2,0.08231630852721908,166.56580683286302,True,False
74,300.0,383,45369,0.2,0.0735016108083073,167.87614675005898,True,False
75,400.0,398,45767,0.2,0.08879308688520181,169.22803883301094,True,False
76,980.0,801,46568,0.2,0.08252704306853129,172.7252908749506,True,False
77,370.0,413,46981,0.2,0.07453716051701492,174.1202202499844,True,False
78,900.0,695,47676,0.2,0.08393106198516385,176.4421095829457,True,False
79,940.0,903,48579,0.2,0.0897409482796987,181.26783937495202,True,False
80,510.0,558,49137,0.2,0.075764224744801,183.21815670793876,True,False
81,1620.0,952,50089,0.2,0.08529280565146889,186.41743999999017,True,False
82,370.0,397,50486,0.2,0.0813910255509645,187.76681516692042,True,False
83,1160.0,670,51156,0.2,0.07785262978480507,190.03226529201493,True,False
84,700.0,593,51749,0.2,0.08776284297424797,192.02033120789565,True,False
85,320.0,398,52147,0.2,0.08228859241412144,193.36833033291623,True,False
86,1190.0,755,52902,0.2,0.08621972696313625,195.883083374938,True,False
87,350.0,388,53290,0.2,0.10148386150291286,197.20723379193805,True,False
